Auction_Desc,Auction_id,Round,bip_id,Block,License Size (Mhz),Major Grouping,Minor Grouping,Market Name,Expr1009,BUs,bidder_name,Entrep,Round of High Bid,bid_amt,net_bid_amt,Bidding Credit,Increments of Bid,Prev High Bidder,Round of Prev High Bid,Prev Gross,Prev Net,Prev Bidding Credit,hhbidder,Number of Bids,MX_Grp,MX_Num,Population,Open or Closed Bidding,OorC
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA093-C4,C ,10,MTA031,BTA093,"Columbus, IN",139128,12000,"Leap Wireless International, Inc.",X,95,433000,433000,0.25,0,Scott  Reiter,93,"$385,000.00","$385,000.00",0.25,"Leap Wireless International, Inc.",0,FM,0,139128,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA093-C5,C ,10,MTA031,BTA093,"Columbus, IN",139128,12000,"Cellco Partnership, d/b/a Verizon Wireless", ,98,617000,617000,0,0,Scott  Reiter,97,"$537,000.00","$402,750.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,139128,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA095-C3,C ,10,MTA038,BTA095,"Columbus, OH",1477891,455000,"Alaska Native Wireless, L.L.C.",X,37,19706000,19706000,0.25,0,"Salmon PCS, LLC",31,"$18,751,000.00","$18,751,000.00",0.25,"Alaska Native Wireless, L.L.C.",0,FM,0,1477891,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA095-C4,C ,10,MTA038,BTA095,"Columbus, OH",1477891,455000,"Leap Wireless International, Inc.",X,30,19503000,19503000,0.25,0,"Salmon PCS, LLC",28,"$17,970,000.00","$17,970,000.00",0.25,"Leap Wireless International, Inc.",0,FM,0,1477891,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA095-C5,C ,10,MTA038,BTA095,"Columbus, OH",1477891,455000,"Cellco Partnership, d/b/a Verizon Wireless", ,29,25239000,25239000,0,0,"Alaska Native Wireless, L.L.C.",27,"$23,306,000.00","$17,479,500.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,1477891,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA099F,F ,10,MTA033,BTA099,"Corpus Christi, TX",499988,103000,VoiceStream PCS BTA I License Corporation, ,27,13229000,13229000,0,0,"Cellco Partnership, d/b/a Verizon Wireless",26,"$11,956,000.00","$11,956,000.00",0,VoiceStream PCS BTA I License Corporation,0,FM,0,499988,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA101F,F ,10,MTA007,BTA101,"Dallas, TX",4329924,4656000,"Salmon PCS, LLC",X,28,285200000,213900000,0.25,0,"DCC PCS, Inc.",27,#############,#############,0,"Salmon PCS, LLC",0,FM,0,4329924,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA103-C1,C ,15,MTA003,BTA103,"Danville, IL",114241,24000,"Salmon PCS, LLC",X,63,937000,937000,0.25,0,"SLO Cellular, Inc.",42,"$892,000.00","$892,000.00",0.15,"Salmon PCS, LLC",0,FM,0,114241,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA106-C3,C ,10,MTA018,BTA106,"Dayton, OH",1207689,337000,"SVC BidCo, L.P.",X,34,24640000,24640000,0,0,"Leap Wireless International, Inc.",32,"$22,833,000.00","$22,833,000.00",0.25,"SVC BidCo, L.P.",0,FM,0,1207689,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA106-C4,C ,10,MTA018,BTA106,"Dayton, OH",1207689,337000,"NORTHCOAST COMMUNICATIONS, L.L.C.",X,35,23896000,23896000,0.25,0,"Salmon PCS, LLC",33,"$21,851,000.00","$21,851,000.00",0.25,"NORTHCOAST COMMUNICATIONS, L.L.C.",0,FM,0,1207689,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA106-C5,C ,10,MTA018,BTA106,"Dayton, OH",1207689,337000,"Alaska Native Wireless, L.L.C.",X,34,32275000,24206250,0.25,0,"Leap Wireless International, Inc.",31,"$30,227,000.00","$22,670,250.00",0.25,"Alaska Native Wireless, L.L.C.",0,FM,0,1207689,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA107F,F ,10,MTA013,BTA107,"Daytona Beach, FL",399413,184000,"Cellco Partnership, d/b/a Verizon Wireless", ,46,9316000,9316000,0,0,"Alaska Native Wireless, L.L.C.",37,"$8,871,000.00","$6,653,250.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,399413,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA110-C3,C ,10,MTA022,BTA110,"Denver, CO",2073952,1135000,"Salmon PCS, LLC",X,27,67921000,67921000,0.25,0,"Alaska Native Wireless, L.L.C.",26,"$60,333,000.00","$60,333,000.00",0.25,"Salmon PCS, LLC",0,FM,0,2073952,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA110-C4,C ,10,MTA022,BTA110,"Denver, CO",2073952,1135000,"Alaska Native Wireless, L.L.C.",X,31,64298000,64298000,0.25,0,"Salmon PCS, LLC",30,"$59,411,000.00","$59,411,000.00",0.25,"Alaska Native Wireless, L.L.C.",0,FM,0,2073952,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA110-C5,C ,10,MTA022,BTA110,"Denver, CO",2073952,1135000,"Cellco Partnership, d/b/a Verizon Wireless", ,34,80537000,80537000,0,0,"DCC PCS, Inc.",29,"$76,408,000.00","$76,408,000.00",0,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,2073952,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA116F,F ,10,MTA009,BTA116,"Dover, DE",251257,88000,"Cellco Partnership, d/b/a Verizon Wireless", ,36,1482000,1482000,0,0,"DCC PCS, Inc.",35,"$1,354,000.00","$1,354,000.00",0,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,251257,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA117-C2,C ,15,MTA021,BTA117,"Du Bois, PA",124180,21000,"Salmon PCS, LLC",X,75,7363000,5522250,0.25,0,"Cellco Partnership, d/b/a Verizon Wireless",74,"$6,694,000.00","$6,694,000.00",0,"Salmon PCS, LLC",0,FM,0,124180,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA126F,F ,10,MTA003,BTA126,"Elkhart, IN",235152,66000,"Salmon PCS, LLC",X,69,6889000,5166750,0.25,0,"Cellco Partnership, d/b/a Verizon Wireless",68,"$6,294,000.00","$6,294,000.00",0,"Salmon PCS, LLC",0,FM,0,235152,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA127-C1,C ,15,MTA001,BTA127,"Elmira, NY",315038,52000,"TPS Utilicom, Inc.",X,73,5752000,5752000,0.25,0,"NORTHCOAST COMMUNICATIONS, L.L.C.",70,"$5,421,000.00","$5,421,000.00",0.25,"TPS Utilicom, Inc.",0,FM,0,315038,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA127-C2,C ,15,MTA001,BTA127,"Elmira, NY",315038,52000,"Cellco Partnership, d/b/a Verizon Wireless", ,72,7638000,7638000,0,0,"TPS Utilicom, Inc.",71,"$7,066,000.00","$5,299,500.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,315038,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA128-C3,C ,10,MTA039,BTA128,"El Paso, TX",649860,257000,"Leap Wireless International, Inc.",X,35,15532000,15532000,0.25,0,"Salmon PCS, LLC",22,"$14,792,000.00","$14,792,000.00",0.25,"Leap Wireless International, Inc.",0,FM,0,649860,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA128-C4,C ,10,MTA039,BTA128,"El Paso, TX",649860,257000,"Salmon PCS, LLC",X,28,15859000,15859000,0.25,0,"Alaska Native Wireless, L.L.C.",26,"$14,901,000.00","$14,901,000.00",0.25,"Salmon PCS, LLC",0,FM,0,649860,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA128-C5,C ,10,MTA039,BTA128,"El Paso, TX",649860,257000,"Cellco Partnership, d/b/a Verizon Wireless", ,27,21261000,21261000,0,0,"Salmon PCS, LLC",24,"$19,865,000.00","$14,898,750.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,649860,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA130-C3,C ,10,MTA041,BTA130,"Enid, OK",85998,2900,"Salmon PCS, LLC",X,65,507000,380250,0.25,0,"Black Crow Wireless, L.P.",60,"$482,000.00","$361,500.00",0.25,"Salmon PCS, LLC",0,FM,0,85998,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA130-C4,C ,10,MTA041,BTA130,"Enid, OK",85998,2900,"Black Crow Wireless, L.P.",X,62,481000,360750,0.25,0,"Pioneer Telephone Cooperative, Inc.",61,"$447,000.00","$447,000.00",0,"Black Crow Wireless, L.P.",0,FM,0,85998,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA130-C5,C ,10,MTA041,BTA130,"Enid, OK",85998,2900,"Cellco Partnership, d/b/a Verizon Wireless", ,67,556000,556000,0,0,"Pioneer Telephone Cooperative, Inc.",66,"$494,000.00","$494,000.00",0,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,85998,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA135-C3,C ,10,MTA026,BTA135,"Evansville, IN",504859,69000,"3DL Wireless, LLC",X,71,1472000,1472000,0.25,0,"MCG PCS II, Inc.",42,"$1,402,000.00","$1,402,000.00",0.25,"3DL Wireless, LLC",0,FM,0,504859,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA135-C4,C ,10,MTA026,BTA135,"Evansville, IN",504859,69000,VINCENT D. McBRIDE,X,70,1534000,1534000,0.25,0,"3DL Wireless, LLC",69,"$1,427,000.00","$1,427,000.00",0.25,VINCENT D. McBRIDE,0,FM,0,504859,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA135-C5,C ,10,MTA026,BTA135,"Evansville, IN",504859,69000,"Cellco Partnership, d/b/a Verizon Wireless", ,45,2187000,2187000,0,0,VINCENT D. McBRIDE,44,"$1,977,000.00","$1,482,750.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,504859,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA136-C3,C ,10,MTA049,BTA136,"Fairbanks, AK",92111,5600,"Summit Wireless, LLC",X,31,439000,329250,0.25,0,"Alaska Native Wireless, L.L.C.",30,"$406,000.00","$304,500.00",0.25,"Summit Wireless, LLC",0,FM,0,92111,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA136-C4,C ,10,MTA049,BTA136,"Fairbanks, AK",92111,5600,"Alaska Native Wireless, L.L.C.",X,43,463000,347250,0.25,0,"MilkyWay Broadband, LLC",42,"$430,000.00","$322,500.00",0.25,"Alaska Native Wireless, L.L.C.",0,FM,0,92111,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA136-C5,C ,10,MTA049,BTA136,"Fairbanks, AK",92111,5600,"DCC PCS, Inc.",X,39,441000,441000,0,0,"MilkyWay Broadband, LLC",38,"$409,000.00","$306,750.00",0.25,"DCC PCS, Inc.",0,FM,0,92111,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA139-C1,C ,15,MTA039,BTA139,"Farmington, NM",162776,53000,"Salmon PCS, LLC",X,30,1556000,1556000,0.25,0,"Commnet PCS, Inc.",29,"$1,441,000.00","$1,441,000.00",0.25,"Salmon PCS, LLC",0,FM,0,162776,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA141-C3,C ,10,MTA006,BTA141,"Fayetteville, NC",571328,98000,Lafayette Communications Company L.L.C.,X,52,20631000,20631000,0.15,0,"Black Crow Wireless, L.P.",51,"$18,852,000.00","$18,852,000.00",0.25,Lafayette Communications Company L.L.C.,0,FM,0,571328,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA141-C4,C ,10,MTA006,BTA141,"Fayetteville, NC",571328,98000,"Cook Inlet/VS GSM V PCS, LLC",X,51,20932000,20932000,0,0,"Black Crow Wireless, L.P.",50,"$19,189,000.00","$19,189,000.00",0.25,"Cook Inlet/VS GSM V PCS, LLC",0,FM,0,571328,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA141-C5,C ,10,MTA006,BTA141,"Fayetteville, NC",571328,98000,"Cellco Partnership, d/b/a Verizon Wireless", ,57,23375000,23375000,0,0,"Black Crow Wireless, L.P.",56,"$21,369,000.00","$16,026,750.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,571328,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA147F,F ,10,MTA006,BTA147,"Florence, SC",239208,33000,"Cellco Partnership, d/b/a Verizon Wireless", ,55,17627000,17627000,0,0,VoiceStream PCS BTA I License Corporation,54,"$16,185,000.00","$16,185,000.00",0,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,239208,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA156F,F ,10,MTA010,BTA156,"Fredericksburg, VA",124654,61000,"Cellco Partnership, d/b/a Verizon Wireless", ,46,2954000,2954000,0,0,Lafayette Communications Company L.L.C.,37,"$2,813,000.00","$2,391,050.00",0.15,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,124654,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA159-C3,C ,10,MTA037,BTA159,"Gainesville, FL",260538,71000,"Theta Communications, LLC",X,78,4017000,4017000,0.25,0,"Black Crow Wireless, L.P.",77,"$3,733,000.00","$3,733,000.00",0.25,"Theta Communications, LLC",0,FM,0,260538,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA159-C4,C ,10,MTA037,BTA159,"Gainesville, FL",260538,71000,"Alaska Native Wireless, L.L.C.",X,75,3611000,3611000,0.25,0,"Leap Wireless International, Inc.",74,"$3,355,000.00","$3,355,000.00",0.25,"Alaska Native Wireless, L.L.C.",0,FM,0,260538,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA159-C5,C ,10,MTA037,BTA159,"Gainesville, FL",260538,71000,"Black Crow Wireless, L.P.",X,79,5107000,3830250,0.25,0,"Leap Wireless International, Inc.",76,"$4,831,000.00","$3,623,250.00",0.25,"Black Crow Wireless, L.P.",0,FM,0,260538,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA160F,F ,10,MTA011,BTA160,"Gainesville, GA",170365,41000,"3G PCS, LLC",X,50,944000,708000,0.25,0,VINCENT D. McBRIDE,49,"$878,000.00","$658,500.00",0.25,"3G PCS, LLC",0,FM,0,170365,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA162-C1,C ,15,MTA039,BTA162,"Gallup, NM",122277,23000,"Salmon PCS, LLC",X,37,1421000,1421000,0.25,0,"Commnet PCS, Inc.",36,"$1,302,000.00","$1,302,000.00",0.25,"Salmon PCS, LLC",0,FM,0,122277,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA164F,F ,10,MTA001,BTA164,"Glens Falls, NY",118539,17000,"NORTHCOAST COMMUNICATIONS, L.L.C.",X,68,5916000,4437000,0.25,0,"Cellco Partnership, d/b/a Verizon Wireless",67,"$5,401,000.00","$5,401,000.00",0,"NORTHCOAST COMMUNICATIONS, L.L.C.",0,FM,0,118539,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA165-C3,C ,10,MTA006,BTA165,"Goldsboro, NC",217319,18000,Mint GSM Services Inc.,X,87,761000,761000,0.25,0,Lafayette Communications Company L.L.C.,48,"$725,000.00","$725,000.00",0.15,Mint GSM Services Inc.,0,FM,0,217319,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA165-C4,C ,10,MTA006,BTA165,"Goldsboro, NC",217319,18000,Lafayette Communications Company L.L.C.,X,86,773000,773000,0.15,0,Mint GSM Services Inc.,81,"$735,000.00","$735,000.00",0.25,Lafayette Communications Company L.L.C.,0,FM,0,217319,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA165-C5,C ,10,MTA006,BTA165,"Goldsboro, NC",217319,18000,"Cellco Partnership, d/b/a Verizon Wireless", ,43,1047000,1047000,0,0,"Airgate PCS, Inc.",37,"$995,000.00","$995,000.00",0,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,217319,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA167-C1,C ,15,MTA045,BTA167,"Grand Island, NE",141541,56000,"Salmon PCS, LLC",X,25,1215000,1215000,0.25,0,"Alaska Native Wireless, L.L.C.",24,"$1,130,000.00","$1,130,000.00",0.25,"Salmon PCS, LLC",0,FM,0,141541,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA172-C3,C ,10,MTA022,BTA172,"Greeley, CO",131821,38000,"Cellco Partnership, d/b/a Verizon Wireless", ,43,2702000,2702000,0,0,"Salmon PCS, LLC",35,"$2,573,000.00","$1,929,750.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,131821,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA172-C4,C ,10,MTA022,BTA172,"Greeley, CO",131821,38000,"Salmon PCS, LLC",X,63,2766000,2074500,0.25,0,"Alaska Native Wireless, L.L.C.",36,"$2,634,000.00","$1,975,500.00",0.25,"Salmon PCS, LLC",0,FM,0,131821,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA172-C5,C ,10,MTA022,BTA172,"Greeley, CO",131821,38000,"Summit Wireless, LLC",X,42,2854000,2140500,0.25,0,"Cellco Partnership, d/b/a Verizon Wireless",40,"$2,686,000.00","$2,686,000.00",0,"Summit Wireless, LLC",0,FM,0,131821,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA174-C3,C ,10,MTA006,BTA174,"Greensboro, NC",1241349,497000,"Alaska Native Wireless, L.L.C.",X,39,40647000,40647000,0.25,0,"Black Crow Wireless, L.P.",38,"$37,809,000.00","$37,809,000.00",0.25,"Alaska Native Wireless, L.L.C.",0,FM,0,1241349,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA174-C4,C ,10,MTA006,BTA174,"Greensboro, NC",1241349,497000,"Cook Inlet/VS GSM V PCS, LLC",X,41,41315000,41315000,0,0,"Black Crow Wireless, L.P.",40,"$38,317,000.00","$38,317,000.00",0.25,"Cook Inlet/VS GSM V PCS, LLC",0,FM,0,1241349,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA174-C5,C ,10,MTA006,BTA174,"Greensboro, NC",1241349,497000,"Cellco Partnership, d/b/a Verizon Wireless", ,38,57871000,57871000,0,0,VoiceStream PCS BTA I License Corporation,35,"$54,596,000.00","$54,596,000.00",0,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,1241349,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA176-C3,C ,10,MTA006,BTA176,"Greenville, NC",218937,19000,Lafayette Communications Company L.L.C.,X,86,947000,947000,0.15,0,Mint GSM Services Inc.,85,"$823,000.00","$823,000.00",0.25,Lafayette Communications Company L.L.C.,0,FM,0,218937,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA176-C4,C ,10,MTA006,BTA176,"Greenville, NC",218937,19000,"Cook Inlet/VS GSM V PCS, LLC",X,84,997000,997000,0,0,Mint GSM Services Inc.,83,"$927,000.00","$927,000.00",0.25,"Cook Inlet/VS GSM V PCS, LLC",0,FM,0,218937,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA176-C5,C ,10,MTA006,BTA176,"Greenville, NC",218937,19000,"Cellco Partnership, d/b/a Verizon Wireless", ,88,1357000,1357000,0,0,Mint GSM Services Inc.,87,"$1,261,000.00","$945,750.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,218937,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA176F,F ,10,MTA006,BTA176,"Greenville, NC",218937,19000,"Cellco Partnership, d/b/a Verizon Wireless", ,88,1088000,1088000,0,0,"Cellco Partnership, d/b/a Verizon Wireless",43,"$947,000.00","$947,000.00",0,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,218937,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA177F,F ,10,MTA006,BTA177,"Greenville, SC",788212,248000,VoiceStream PCS BTA I License Corporation, ,37,57854000,57854000,0,0,"Cellco Partnership, d/b/a Verizon Wireless",36,"$52,894,000.00","$52,894,000.00",0,VoiceStream PCS BTA I License Corporation,0,FM,0,788212,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA179-C3,C ,10,MTA010,BTA179,"Hagerstown, MD",327693,56000,"MCG PCS II, Inc.",X,77,1554000,1554000,0.25,0,"Salmon PCS, LLC",73,"$1,476,000.00","$1,476,000.00",0.25,"MCG PCS II, Inc.",0,FM,0,327693,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA179-C4,C ,10,MTA010,BTA179,"Hagerstown, MD",327693,56000,"Salmon PCS, LLC",X,78,1649000,1649000,0.25,0,Mint GSM Services Inc.,74,"$1,489,000.00","$1,489,000.00",0.25,"Salmon PCS, LLC",0,FM,0,327693,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA179-C5,C ,10,MTA010,BTA179,"Hagerstown, MD",327693,56000,"Cellco Partnership, d/b/a Verizon Wireless", ,76,2427000,2427000,0,0,"MCG PCS II, Inc.",75,"$1,980,000.00","$1,485,000.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,327693,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA181F,F ,10,MTA009,BTA181,"Harrisburg, PA",654808,175000,"Cellco Partnership, d/b/a Verizon Wireless", ,34,18147000,18147000,0,0,"Leap Wireless International, Inc.",28,"$17,269,000.00","$12,951,750.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,654808,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA183F,F ,10,MTA010,BTA183,"Harrisonburg, VA",128910,18000,"Salmon PCS, LLC",X,67,8051000,6038250,0.25,0,"Cellco Partnership, d/b/a Verizon Wireless",66,"$7,468,000.00","$7,468,000.00",0,"Salmon PCS, LLC",0,FM,0,128910,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA185F,F ,10,MTA045,BTA185,"Hastings, NE",72833,9300,"Salmon PCS, LLC",X,63,660000,495000,0.25,0,"MilkyWay Broadband, LLC",43,"$629,000.00","$471,750.00",0.25,"Salmon PCS, LLC",0,FM,0,72833,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA188-C3,C ,10,MTA042,BTA188,"Helena, MT",58752,12000,"Summit Wireless, LLC",X,28,873000,654750,0.25,0,"Alaska Native Wireless, L.L.C.",27,"$765,000.00","$573,750.00",0.25,"Summit Wireless, LLC",0,FM,0,58752,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA188-C4,C ,10,MTA042,BTA188,"Helena, MT",58752,12000,VoiceStream PCS BTA I License Corporation, ,44,815000,815000,0,0,"Summit Wireless, LLC",28,"$776,000.00","$582,000.00",0.25,VoiceStream PCS BTA I License Corporation,0,FM,0,58752,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA188-C5,C ,10,MTA042,BTA188,"Helena, MT",58752,12000,"Alaska Native Wireless, L.L.C.",X,32,559000,419250,0.25,0,"Summit Wireless, LLC",31,"$514,000.00","$385,500.00",0.25,"Alaska Native Wireless, L.L.C.",0,FM,0,58752,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA189-C3,C ,10,MTA006,BTA189,"Hickory, NC",292409,35000,Lafayette Communications Company L.L.C.,X,55,6263000,6263000,0.15,0,"Black Crow Wireless, L.P.",52,"$5,929,000.00","$5,929,000.00",0.25,Lafayette Communications Company L.L.C.,0,FM,0,292409,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA189-C4,C ,10,MTA006,BTA189,"Hickory, NC",292409,35000,"Cook Inlet/VS GSM V PCS, LLC",X,86,6043000,6043000,0,0,"Black Crow Wireless, L.P.",85,"$5,621,000.00","$5,621,000.00",0.25,"Cook Inlet/VS GSM V PCS, LLC",0,FM,0,292409,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA189-C5,C ,10,MTA006,BTA189,"Hickory, NC",292409,35000,"Cellco Partnership, d/b/a Verizon Wireless", ,57,4444000,4444000,0,0,"Black Crow Wireless, L.P.",56,"$3,864,000.00","$2,898,000.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,292409,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA190F,F ,10,MTA047,BTA190,"Hilo, HI",120317,36000,"Summit Wireless, LLC",X,43,1601000,1200750,0.25,0,"Alaska Native Wireless, L.L.C.",37,"$1,524,000.00","$1,143,000.00",0.25,"Summit Wireless, LLC",0,FM,0,120317,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA192F,F ,10,MTA047,BTA192,"Honolulu, HI",836231,536000,"Alaska Native Wireless, L.L.C.",X,35,93803000,70352250,0.25,0,"Cellco Partnership, d/b/a Verizon Wireless",27,"$89,268,000.00","$89,268,000.00",0,"Alaska Native Wireless, L.L.C.",0,FM,0,836231,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA196-C3,C ,10,MTA014,BTA196,"Houston, TX",4054253,3176000,"Salmon PCS, LLC",X,17,104409000,104409000,0.25,0,"DCC PCS, Inc.",15,"$95,819,000.00","$95,819,000.00",0,"Salmon PCS, LLC",0,FM,0,4054253,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA196-C4,C ,10,MTA014,BTA196,"Houston, TX",4054253,3176000,"Cellco Partnership, d/b/a Verizon Wireless", ,37,139139000,139139000,0,0,"Alaska Native Wireless, L.L.C.",25,#############,"$99,382,500.00",0.25,"Cellco Partnership, d/b/a Verizon Wireless",0,FM,0,4054253,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA196-C5,C ,10,MTA014,BTA196,"Houston, TX",4054253,3176000,"Leap Wireless International, Inc.",X,36,133684000,100263000,0.25,0,"Cellco Partnership, d/b/a Verizon Wireless",26,#############,#############,0,"Leap Wireless International, Inc.",0,FM,0,4054253,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA203-C2,C ,15,MTA021,BTA203,"Indiana, PA",89994,13000,"Salmon PCS, LLC",X,75,4485000,3363750,0.25,0,"Cellco Partnership, d/b/a Verizon Wireless",74,"$4,078,000.00","$4,078,000.00",0,"Salmon PCS, LLC",0,FM,0,89994,Open,O
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA204-C3,C ,10,MTA031,BTA204,"Indianapolis, IN",1321911,725000,"Cook Inlet/VS GSM V PCS, LLC",X,32,26574000,26574000,0,0,"Leap Wireless International, Inc.",31,"$24,718,000.00","$24,718,000.00",0.25,"Cook Inlet/VS GSM V PCS, LLC",0,FM,0,1321911,Closed,C
FCC C & F Block Auction #35  **Final**,35,101,CW-BTA204-C4,C ,10,MTA031,BTA204,"Indianapolis, IN",1321911,725000,"Leap Wireless International, Inc.",X,33,26588000,26588000,0.25,0,"Alaska Native Wireless, L.L.C.",26,"$25,311,000.00","$25,311,000.00",0.25,"Leap Wireless International, Inc.",0,FM,0,1321911,Closed,C
