auction_id	auction_description	round	item_name	item_description	pwb_amount	net_pwb_amount	pw_bidder	round_of_pwb	previous_pw_bidder	round_of_previous_pwb	previous_pwb_amount	previous_net_pwb_amount
73	700 MHz Band	261	WY-BEA156-A	Albuquerque NM-AZ	4538000.00	3403500.00	Continuum 700 LLC	175	Cavalier Wireless, LLC	174	4370000.00	 	
73	700 MHz Band	261	WY-BEA157-A	El Paso TX-NM	4073000.00	3054750.00	Miller, David	155	Cavalier Wireless, LLC	27	3993000.00	 	
73	700 MHz Band	261	WY-BEA158-A	Phoenix-Mesa AZ-NM	53042000.00	53042000.00	Cox Wireless, Inc.	27	Cellco Partnership d/b/a Verizon Wireless	26	48237000.00	 	
73	700 MHz Band	261	WY-BEA159-A	Tucson AZ	5508000.00	5508000.00	Cox Wireless, Inc.	73	Continuum 700 LLC	72	5296000.00	 	
73	700 MHz Band	261	WY-BEA160-A	LA-Riverside-Orange Cnty CA-AZ	580268000.00	580268000.00	Cellco Partnership d/b/a Verizon Wireless	20	QUALCOMM Incorporated	19	527421000.00	 	
73	700 MHz Band	261	WY-BEA161-A	San Diego CA	84119000.00	84119000.00	Cox Wireless, Inc.	30	Cellco Partnership d/b/a Verizon Wireless	22	80112000.00	 	
73	700 MHz Band	261	WY-BEA162-A	Fresno CA	15637000.00	15637000.00	Cellco Partnership d/b/a Verizon Wireless	18	MetroPCS 700 MHz, LLC	17	13031000.00	 	
73	700 MHz Band	261	WY-BEA163-A	San Fran.-Oakland-San Jose CA	103697000.00	103697000.00	Cellco Partnership d/b/a Verizon Wireless	22	QUALCOMM Incorporated	21	94822000.00	 	
73	700 MHz Band	261	WY-BEA164-A	Sacramento-Yolo CA	25353000.00	25353000.00	Cellco Partnership d/b/a Verizon Wireless	24	Vulcan Spectrum LLC	23	23066000.00	 	
73	700 MHz Band	261	WY-BEA165-A	Redding CA-OR	1144000.00	858000.00	King Street Wireless, L.P.	104	Triad 700, LLC	103	1101000.00	 	
73	700 MHz Band	261	WY-BEA166-A	Eugene-Springfield OR-CA	2721000.00	2040750.00	King Street Wireless, L.P.	36	Vulcan Spectrum LLC	26	2668000.00	 	
73	700 MHz Band	261	WY-BEA167-A	Portland-Salem OR-WA	43603000.00	43603000.00	Vulcan Spectrum LLC	28	Cellco Partnership d/b/a Verizon Wireless	26	40989000.00	 	
73	700 MHz Band	261	WY-BEA168-A	Pendleton OR-WA	730000.00	730000.00	CenturyTel Broadband Wireless LLC	78	King Street Wireless, L.P.	77	702000.00	 	
73	700 MHz Band	261	WY-BEA169-A	Richland-Kennewick-Pasco WA	2393000.00	1794750.00	King Street Wireless, L.P.	29	Vulcan Spectrum LLC	28	2158000.00	 	
73	700 MHz Band	261	WY-BEA170-A	Seattle-Tacoma-Bremerton WA	69190000.00	69190000.00	Vulcan Spectrum LLC	28	Cellco Partnership d/b/a Verizon Wireless	26	65042000.00	 	
73	700 MHz Band	261	WY-BEA171-A	Anchorage AK	1315000.00	986250.00	Triad 700, LLC	131	Kurian, Thomas K	130	1272000.00	 	
73	700 MHz Band	261	WY-BEA172-A	Honolulu HI	3728000.00	2796000.00	Cavalier Wireless, LLC	58	Continuum 700 LLC	57	3585000.00	 	
73	700 MHz Band	261	WY-BEA173-A	Guam-Northern Mariana Islands	1293000.00	1293000.00	PTI Pacifica, Inc.	153	Choice Phone LLC	150	1266000.00	 	
73	700 MHz Band	261	WY-BEA174-A	Puerto Rico-US Virgin Islands	19904000.00	19904000.00	Puerto Rico Telephone Company, Inc.	35	VentureTel 700, Inc.	34	19138000.00	 	
73	700 MHz Band	261	WY-BEA175-A	American Samoa	20000.00	20000.00	AST Telecom, LLC	189	Kurian, Thomas K	148	19000.00	 	
73	700 MHz Band	261	WY-BEA176-A	Gulf of Mexico	771000.00	771000.00	CHEVRON USA INC.	37	SeaBytes, L.L.C.	36	742000.00	 	
73	700 MHz Band	261	WY-CMA001-B	New York-Newark, NY-NJ	884703000.00	884703000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	804301000.00	 	
73	700 MHz Band	261	WY-CMA002-B	Los Angeles-Anaheim, CA	483981000.00	483981000.00	Cellco Partnership d/b/a Verizon Wireless	20	QUALCOMM Incorporated	19	435956000.00	 	
73	700 MHz Band	261	WY-CMA003-B	Chicago, IL	892400000.00	892400000.00	Cellco Partnership d/b/a Verizon Wireless	23	AT&T Mobility Spectrum, LLC	22	801340000.00	 	
73	700 MHz Band	261	WY-CMA004-B	Philadelphia, PA	365481000.00	365481000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	332256000.00	 	
73	700 MHz Band	261	WY-CMA005-B	Detroit-Ann Arbor, MI	202656000.00	202656000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	186008000.00	 	
73	700 MHz Band	261	WY-CMA006-B	Boston-Brockton-Lowell, MA-NH	293309000.00	293309000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	265655000.00	 	
73	700 MHz Band	261	WY-CMA007-B	San Francisco-Oakland, CA	250467000.00	250467000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	227607000.00	 	
73	700 MHz Band	261	WY-CMA008-B	Washington, DC-MD-VA	241363000.00	241363000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	219421000.00	 	
73	700 MHz Band	261	WY-CMA009-B	Dallas-Fort Worth, TX	131125000.00	131125000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	120010000.00	 	
73	700 MHz Band	261	WY-CMA010-B	Houston, TX	194492000.00	194492000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	24	182600000.00	 	
73	700 MHz Band	261	WY-CMA011-B	St. Louis, MO-IL	128457000.00	128457000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	116782000.00	 	
73	700 MHz Band	261	WY-CMA012-B	Miami-Fort Lauderdale, FL	232503000.00	232503000.00	Cellco Partnership d/b/a Verizon Wireless	25	AT&T Mobility Spectrum, LLC	24	211366000.00	 	
73	700 MHz Band	261	WY-CMA013-B	Pittsburgh, PA	76471000.00	76471000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	69519000.00	 	
73	700 MHz Band	261	WY-CMA014-B	Baltimore, MD	120249000.00	120249000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	109321000.00	 	
73	700 MHz Band	261	WY-CMA015-B	Minneapolis-St. Paul, MN-WI	166880000.00	166880000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	151709000.00	 	
73	700 MHz Band	261	WY-CMA016-B	Cleveland, OH	56872000.00	56872000.00	AT&T Mobility Spectrum, LLC	25	Cellco Partnership d/b/a Verizon Wireless	24	51638000.00	 	
73	700 MHz Band	261	WY-CMA017-B	Atlanta, GA	248784000.00	248784000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	226167000.00	 	
73	700 MHz Band	261	WY-CMA018-B	San Diego, CA	176977000.00	176977000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	26	168484000.00	 	
73	700 MHz Band	261	WY-CMA019-B	Denver-Boulder, CO	55682000.00	55682000.00	AT&T Mobility Spectrum, LLC	42	Cellco Partnership d/b/a Verizon Wireless	24	54590000.00	 	
73	700 MHz Band	261	WY-CMA020-B	Seattle-Everett, WA	219074000.00	219074000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	199158000.00	 	
73	700 MHz Band	261	WY-CMA021-B	Milwaukee, WI	111118000.00	111118000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	101005000.00	 	
73	700 MHz Band	261	WY-CMA022-B	Tampa-St. Petersburg, FL	115094000.00	115094000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	25	109600000.00	 	
73	700 MHz Band	261	WY-CMA023-B	Cincinnati, OH-KY-IN	35120000.00	35120000.00	Cellco Partnership d/b/a Verizon Wireless	17	AT&T Mobility Spectrum, LLC	14	31217000.00	 	
73	700 MHz Band	261	WY-CMA024-B	Kansas City, MO-KS	71232000.00	71232000.00	AT&T Mobility Spectrum, LLC	24	Cellco Partnership d/b/a Verizon Wireless	23	64758000.00	 	
73	700 MHz Band	261	WY-CMA025-B	Buffalo, NY	10461000.00	10461000.00	AT&T Mobility Spectrum, LLC	45	Cellco Partnership d/b/a Verizon Wireless	19	10256000.00	 	
73	700 MHz Band	261	WY-CMA026-B	Phoenix, AZ	222649000.00	222649000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	202311000.00	 	
73	700 MHz Band	261	WY-CMA027-B	San Jose, CA	107376000.00	107376000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	97582000.00	 	
73	700 MHz Band	261	WY-CMA028-B	Indianapolis, IN	66058000.00	66058000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	59975000.00	 	
73	700 MHz Band	261	WY-CMA029-B	New Orleans, LA	27888000.00	27888000.00	AT&T Mobility Spectrum, LLC	21	Alltel Corporation	20	25276000.00	 	
73	700 MHz Band	261	WY-CMA030-B	Portland, OR-WA	46451000.00	46451000.00	AT&T Mobility Spectrum, LLC	28	Cellco Partnership d/b/a Verizon Wireless	18	44239000.00	 	
73	700 MHz Band	261	WY-CMA031-B	Columbus, OH	23487000.00	23487000.00	AT&T Mobility Spectrum, LLC	21	Cellco Partnership d/b/a Verizon Wireless	20	21602000.00	 	
73	700 MHz Band	261	WY-CMA032-B	Hartford-Bristol, CT	61162000.00	61162000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	55602000.00	 	
73	700 MHz Band	261	WY-CMA033-B	San Antonio, TX	54914000.00	54914000.00	AT&T Mobility Spectrum, LLC	37	Cellco Partnership d/b/a Verizon Wireless	26	53837000.00	 	
73	700 MHz Band	261	WY-CMA034-B	Rochester, NY	19135000.00	19135000.00	Cellco Partnership d/b/a Verizon Wireless	19	AT&T Mobility Spectrum, LLC	18	17395000.00	 	
73	700 MHz Band	261	WY-CMA035-B	Sacramento, CA	77783000.00	77783000.00	AT&T Mobility Spectrum, LLC	29	Cellco Partnership d/b/a Verizon Wireless	26	73762000.00	 	
73	700 MHz Band	261	WY-CMA036-B	Memphis, TN-AR-MS	32608000.00	32608000.00	Cellco Partnership d/b/a Verizon Wireless	16	AT&T Mobility Spectrum, LLC	15	27173000.00	 	
73	700 MHz Band	261	WY-CMA037-B	Louisville, KY-IN	34096000.00	34096000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	30996000.00	 	
73	700 MHz Band	261	WY-CMA038-B	Providence-Warwick, RI	47402000.00	47402000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	23	45144000.00	 	
73	700 MHz Band	261	WY-CMA039-B	Salt Lake City-Ogden, UT	55556000.00	55556000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	50505000.00	 	
73	700 MHz Band	261	WY-CMA040-B	Dayton, OH	14147000.00	14147000.00	AT&T Mobility Spectrum, LLC	21	Cellco Partnership d/b/a Verizon Wireless	20	13012000.00	 	
73	700 MHz Band	261	WY-CMA041-B	Birmingham, AL	25042000.00	25042000.00	AT&T Mobility Spectrum, LLC	18	Cellco Partnership d/b/a Verizon Wireless	17	20868000.00	 	
73	700 MHz Band	261	WY-CMA042-B	Bridgeport-Stamford-Danbury CT	34837000.00	34837000.00	AT&T Mobility Spectrum, LLC	25	Cellco Partnership d/b/a Verizon Wireless	24	31670000.00	 	
73	700 MHz Band	261	WY-CMA043-B	Norfolk-Virginia Beach, VA-NC	42352000.00	42352000.00	AT&T Mobility Spectrum, LLC	19	Cellco Partnership d/b/a Verizon Wireless	16	40035000.00	 	
73	700 MHz Band	261	WY-CMA044-B	Albany-Schenectady-Troy, NY	10925000.00	10925000.00	AT&T Mobility Spectrum, LLC	37	Cellco Partnership d/b/a Verizon Wireless	19	10711000.00	 	
73	700 MHz Band	261	WY-CMA045-B	Oklahoma City, OK	92226000.00	92226000.00	Cellco Partnership d/b/a Verizon Wireless	24	AT&T Mobility Spectrum, LLC	23	83765000.00	 	
73	700 MHz Band	261	WY-CMA046-B	Nashville-Davidson, TN	65269000.00	65269000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	59335000.00	 	
73	700 MHz Band	261	WY-CMA047-B	Greensboro-Winston-Salem, NC	57465000.00	57465000.00	Cellco Partnership d/b/a Verizon Wireless	24	AT&T Mobility Spectrum, LLC	23	52235000.00	 	
73	700 MHz Band	261	WY-CMA048-B	Toledo, OH-MI	11657000.00	11657000.00	AT&T Mobility Spectrum, LLC	23	Cellco Partnership d/b/a Verizon Wireless	22	10465000.00	 	
73	700 MHz Band	261	WY-CMA049-B	New Haven-Waterbury-Meriden CT	29490000.00	29490000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	26809000.00	 	
73	700 MHz Band	261	WY-CMA050-B	Honolulu, HI	11916000.00	11916000.00	AT&T Mobility Spectrum, LLC	18	Cellco Partnership d/b/a Verizon Wireless	17	9930000.00	 	
73	700 MHz Band	261	WY-CMA051-B	Jacksonville, FL	30733000.00	30733000.00	AT&T Mobility Spectrum, LLC	39	Cellco Partnership d/b/a Verizon Wireless	18	30130000.00	 	
73	700 MHz Band	261	WY-CMA052-B	Akron, OH	12398000.00	12398000.00	AT&T Mobility Spectrum, LLC	24	Cellco Partnership d/b/a Verizon Wireless	23	11119000.00	 	
73	700 MHz Band	261	WY-CMA053-B	Syracuse, NY	10736000.00	10736000.00	AT&T Mobility Spectrum, LLC	20	Cellco Partnership d/b/a Verizon Wireless	19	9760000.00	 	
73	700 MHz Band	261	WY-CMA054-B	Gary-Hammond-East Chicago, IN	7020000.00	7020000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	21	6686000.00	 	
73	700 MHz Band	261	WY-CMA055-B	Worchester-Leominster, MA	11858000.00	11858000.00	AT&T Mobility Spectrum, LLC	25	Cellco Partnership d/b/a Verizon Wireless	24	10780000.00	 	
73	700 MHz Band	261	WY-CMA056-B	Northeast Pennsylvania, PA	10832000.00	10832000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	24	10272000.00	 	
73	700 MHz Band	261	WY-CMA057-B	Tulsa, OK	24336000.00	24336000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	24	23176000.00	 	
73	700 MHz Band	261	WY-CMA058-B	Allentown-Bethlehem, PA-NJ	25572000.00	25572000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	23	24323000.00	 	
73	700 MHz Band	261	WY-CMA059-B	Richmond, VA	24745000.00	24745000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	23	23566000.00	 	
73	700 MHz Band	261	WY-CMA060-B	Orlando, FL	87282000.00	87282000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	79349000.00	 	
73	700 MHz Band	261	WY-CMA061-B	Charlotte-Gastonia, NC	58748000.00	58748000.00	Cellco Partnership d/b/a Verizon Wireless	24	AT&T Mobility Spectrum, LLC	23	53390000.00	 	
73	700 MHz Band	261	WY-CMA062-B	New Brunswick-Perth Amboy, NJ	45356000.00	45356000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	24	43012000.00	 	
73	700 MHz Band	261	WY-CMA063-B	Springfield-Holyoke, MA	11806000.00	11806000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	24	11196000.00	 	
73	700 MHz Band	261	WY-CMA064-B	Grand Rapids, MI	38441000.00	38441000.00	AT&T Mobility Spectrum, LLC	22	Cellco Partnership d/b/a Verizon Wireless	21	34595000.00	 	
73	700 MHz Band	261	WY-CMA065-B	Omaha, NE-IA	15744000.00	15744000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	14319000.00	 	
73	700 MHz Band	261	WY-CMA066-B	Youngstown-Warren, OH	5468000.00	5468000.00	Cellco Partnership d/b/a Verizon Wireless	21	Alltel Corporation	20	4951000.00	 	
73	700 MHz Band	261	WY-CMA067-B	Greenville-Spartanburg, SC	12861000.00	12861000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	11847000.00	 	
73	700 MHz Band	261	WY-CMA068-B	Flint, MI	7399000.00	7399000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	25	6968000.00	 	
73	700 MHz Band	261	WY-CMA069-B	Wilmington, DE-NJ-MD	21284000.00	21284000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	23	20244000.00	 	
73	700 MHz Band	261	WY-CMA070-B	Long Branch-Asbury Park, NJ	26178000.00	26178000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	24	24825000.00	 	
73	700 MHz Band	261	WY-CMA071-B	Raleigh-Durham, NC	42085000.00	42085000.00	Cellco Partnership d/b/a Verizon Wireless	24	AT&T Mobility Spectrum, LLC	23	38621000.00	 	
73	700 MHz Band	261	WY-CMA072-B	West Palm Beach-Boca Raton, FL	26993000.00	26993000.00	Cellco Partnership d/b/a Verizon Wireless	21	AT&T Mobility Spectrum, LLC	20	24526000.00	 	
73	700 MHz Band	261	WY-CMA073-B	Oxnard-Simi Valley-Ventura, CA	20220000.00	20220000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	22	19257000.00	 	
73	700 MHz Band	261	WY-CMA074-B	Fresno, CA	14057000.00	14057000.00	AT&T Mobility Spectrum, LLC	44	Cellco Partnership d/b/a Verizon Wireless	18	13781000.00	 	
73	700 MHz Band	261	WY-CMA075-B	Austin, TX	37045000.00	37045000.00	AT&T Mobility Spectrum, LLC	37	Cellco Partnership d/b/a Verizon Wireless	22	36319000.00	 	
73	700 MHz Band	261	WY-CMA076-B	New Bedford-Fall River, MA	5936000.00	5936000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	21	5653000.00	 	
73	700 MHz Band	261	WY-CMA077-B	Tucson, AZ	27041000.00	27041000.00	AT&T Mobility Spectrum, LLC	39	Cellco Partnership d/b/a Verizon Wireless	26	26511000.00	 	
73	700 MHz Band	261	WY-CMA078-B	Lansing-East Lansing, MI	13031000.00	13031000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	11956000.00	 	
73	700 MHz Band	261	WY-CMA079-B	Knoxville, TN	18346000.00	18346000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	16819000.00	 	
73	700 MHz Band	261	WY-CMA080-B	Baton Rouge, LA	16010000.00	16010000.00	AT&T Mobility Spectrum, LLC	22	Cox Wireless, Inc.	21	13806000.00	 	
73	700 MHz Band	261	WY-CMA081-B	El Paso, TX	9321000.00	9321000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	22	8877000.00	 	
73	700 MHz Band	261	WY-CMA082-B	Tacoma, WA	12524000.00	12524000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	11385000.00	 	
73	700 MHz Band	261	WY-CMA083-B	Mobile, AL	11046000.00	11046000.00	AT&T Mobility Spectrum, LLC	21	Cellular South Licenses, Inc.	20	10146000.00	 	
73	700 MHz Band	261	WY-CMA084-B	Harrisburg, PA	5547000.00	5547000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	23	5276000.00	 	
73	700 MHz Band	261	WY-CMA085-B	Johnson City-Kingsport, TN-VA	5446000.00	5446000.00	AT&T Mobility Spectrum, LLC	18	Cellco Partnership d/b/a Verizon Wireless	17	4538000.00	 	
73	700 MHz Band	261	WY-CMA086-B	Albuquerque, NM	8124000.00	8124000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	24	7737000.00	 	
73	700 MHz Band	261	WY-CMA087-B	Canton, OH	5711000.00	5711000.00	AT&T Mobility Spectrum, LLC	24	Cellco Partnership d/b/a Verizon Wireless	23	5192000.00	 	
73	700 MHz Band	261	WY-CMA088-B	Chattanooga, TN-GA	9612000.00	9612000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	8736000.00	 	
73	700 MHz Band	261	WY-CMA089-B	Wichita, KS	12123000.00	12123000.00	AT&T Mobility Spectrum, LLC	37	Cellco Partnership d/b/a Verizon Wireless	19	11885000.00	 	
73	700 MHz Band	261	WY-CMA090-B	Charleston, SC	13409000.00	13409000.00	AT&T Mobility Spectrum, LLC	21	Alltel Corporation	20	11633000.00	 	
73	700 MHz Band	261	WY-CMA091-B	San Juan-Caguas, PR	11498000.00	11498000.00	Puerto Rico Telephone Company, Inc.	69	VentureTel 700, Inc.	68	11056000.00	 	
73	700 MHz Band	261	WY-CMA092-B	Little Rock, AR	16582000.00	16582000.00	AT&T Mobility Spectrum, LLC	23	Cellco Partnership d/b/a Verizon Wireless	22	14437000.00	 	
73	700 MHz Band	261	WY-CMA093-B	Las Vegas, NV	82281000.00	82281000.00	AT&T Mobility Spectrum, LLC	26	Cellco Partnership d/b/a Verizon Wireless	25	74770000.00	 	
73	700 MHz Band	261	WY-CMA094-B	Saginaw-Bay City-Midland, MI	1308000.00	1308000.00	AT&T Mobility Spectrum, LLC	37	Cellco Partnership d/b/a Verizon Wireless	22	1282000.00	 	
73	700 MHz Band	261	WY-CMA095-B	Columbia, SC	15516000.00	15516000.00	AT&T Mobility Spectrum, LLC	19	Alltel Corporation	18	13782000.00	 	
73	700 MHz Band	261	WY-CMA096-B	Fort Wayne, IN	3706000.00	3706000.00	AT&T Mobility Spectrum, LLC	18	Cellco Partnership d/b/a Verizon Wireless	17	3088000.00	 	
73	700 MHz Band	261	WY-CMA097-B	Bakersfield, CA	8248000.00	8248000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	21	7855000.00	 	
73	700 MHz Band	261	WY-CMA098-B	Davenport-Rock Island, IA-IL	3952000.00	3952000.00	AT&T Mobility Spectrum, LLC	25	King Street Wireless, L.P.	24	3597000.00	 	
73	700 MHz Band	261	WY-CMA099-B	York, PA	5167000.00	5167000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	23	4915000.00	 	
73	700 MHz Band	261	WY-CMA100-B	Shreveport, LA	7947000.00	7947000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	24	7568000.00	 	
73	700 MHz Band	261	WY-CMA101-B	Beaumont-Port Arthur, TX	2617000.00	2617000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	2376000.00	 	
73	700 MHz Band	261	WY-CMA102-B	Des Moines, IA	27057000.00	20292750.00	King Street Wireless, L.P.	37	AT&T Mobility Spectrum, LLC	36	26016000.00	 	
73	700 MHz Band	261	WY-CMA103-B	Peoria, IL	2777000.00	2777000.00	AT&T Mobility Spectrum, LLC	18	CenturyTel Broadband Wireless LLC	17	2314000.00	 	
73	700 MHz Band	261	WY-CMA104-B	Newport News-Hampton, VA	13064000.00	13064000.00	AT&T Mobility Spectrum, LLC	20	Cellco Partnership d/b/a Verizon Wireless	19	12009000.00	 	
73	700 MHz Band	261	WY-CMA105-B	Lancaster, PA	19682000.00	19682000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	17893000.00	 	
73	700 MHz Band	261	WY-CMA106-B	Jackson, MS	7131000.00	7131000.00	AT&T Mobility Spectrum, LLC	68	CenturyTel Broadband Wireless LLC	16	6991000.00	 	
73	700 MHz Band	261	WY-CMA107-B	Stockton, CA	10238000.00	10238000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	21	9750000.00	 	
73	700 MHz Band	261	WY-CMA108-B	Augusta, GA-SC	8669000.00	8669000.00	AT&T Mobility Spectrum, LLC	25	Cellco Partnership d/b/a Verizon Wireless	24	7871000.00	 	
73	700 MHz Band	261	WY-CMA109-B	Spokane, WA	8309000.00	8309000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	7560000.00	 	
73	700 MHz Band	261	WY-CMA110-B	Huntington-Ashland, WV-KY-OH	3475000.00	3475000.00	AT&T Mobility Spectrum, LLC	18	East Kentucky Network, LLC	17	2896000.00	 	
73	700 MHz Band	261	WY-CMA111-B	Vallejo-Fairfield-Napa, CA	17012000.00	17012000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	22	16202000.00	 	
73	700 MHz Band	261	WY-CMA112-B	Corpus Christi, TX	1289000.00	1289000.00	AT&T Mobility Spectrum, LLC	37	Cellco Partnership d/b/a Verizon Wireless	26	1264000.00	 	
73	700 MHz Band	261	WY-CMA113-B	Madison, WI	12029000.00	12029000.00	AT&T Mobility Spectrum, LLC	27	King Street Wireless, L.P.	26	10928000.00	 	
73	700 MHz Band	261	WY-CMA114-B	Lakeland-Winter Haven, FL	16068000.00	16068000.00	AT&T Mobility Spectrum, LLC	25	Cellco Partnership d/b/a Verizon Wireless	24	14607000.00	 	
73	700 MHz Band	261	WY-CMA115-B	Utica-Rome, NY	674000.00	505500.00	PCS Partners, L.P.	101	Buffalo-Lake Erie Wireless Systems Co., L.L.C.	100	648000.00	 	
73	700 MHz Band	261	WY-CMA116-B	Lexington-Fayette, KY	11471000.00	11471000.00	AT&T Mobility Spectrum, LLC	37	Cellco Partnership d/b/a Verizon Wireless	17	11246000.00	 	
73	700 MHz Band	261	WY-CMA117-B	Colorado Springs, CO	6630000.00	6630000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	22	6314000.00	 	
73	700 MHz Band	261	WY-CMA118-B	Reading, PA	1820000.00	1820000.00	AT&T Mobility Spectrum, LLC	27	Cellco Partnership d/b/a Verizon Wireless	26	1655000.00	 	
73	700 MHz Band	261	WY-CMA119-B	Evansville, IN-KY	673000.00	673000.00	AT&T Mobility Spectrum, LLC	23	Cellco Partnership d/b/a Verizon Wireless	22	561000.00	 	
73	700 MHz Band	261	WY-CMA120-B	Huntsville, AL	9590000.00	9590000.00	AT&T Mobility Spectrum, LLC	19	CenturyTel Broadband Wireless LLC	18	8509000.00	 	
73	700 MHz Band	261	WY-CMA121-B	Trenton, NJ	2410000.00	2410000.00	AT&T Mobility Spectrum, LLC	140	Miller, David	139	2331000.00	 	
73	700 MHz Band	261	WY-CMA122-B	Binghamton, NY	186000.00	139500.00	Cavalier Wireless, LLC	110	Worldcall Inc.	109	180000.00	 	
73	700 MHz Band	261	WY-CMA123-B	Santa Rosa-Petaluma, CA	5181000.00	5181000.00	AT&T Mobility Spectrum, LLC	31	Cellco Partnership d/b/a Verizon Wireless	21	4934000.00	 	
